ID_RESERVA	Fecha de ingreso	Fecha salida	medio de pago	Estado de reserva	ID_cliente	ID_Finca
2001	2017-01-01	2017-01-04	PSE	finalizado	1149	3
2002	2017-01-07	2017-01-12	PSE	finalizado	1075	1
2003	2017-01-13	2017-01-14	tarjeta credito	cancelado	1010	3
2004	2017-01-19	2017-01-27	PSE	finalizado	1064	4
2005	2017-01-25	2017-02-02	tarjeta credito	finalizado	1180	2
2006	2017-01-31	2017-02-05	PSE	finalizado	1118	4
2007	2017-02-06	2017-02-14	efectivo	finalizado	1157	4
2008	2017-02-12	2017-02-20	PSE	finalizado	1116	2
2009	2017-02-18	2017-02-23	efectivo	finalizado	1138	2
2010	2017-02-24	2017-03-02	efectivo	cancelado	1098	2
2011	2017-03-02	2017-03-05	PSE	finalizado	1148	1
2012	2017-03-08	2017-03-10	PSE	finalizado	1139	3
2013	2017-03-14	2017-03-17	PSE	finalizado	1012	3
2014	2017-03-20	2017-03-21	PSE	finalizado	1160	3
2015	2017-03-26	2017-03-27	tarjeta credito	finalizado	1014	4
2016	2017-04-01	2017-04-05	efectivo	finalizado	1172	1
2017	2017-04-07	2017-04-09	tarjeta credito	finalizado	1037	1
2018	2017-04-13	2017-04-20	PSE	finalizado	1180	3
2019	2017-04-19	2017-04-25	tarjeta credito	finalizado	1147	2
2020	2017-04-25	2017-04-30	tarjeta credito	finalizado	1084	3
2021	2017-05-01	2017-05-04	PSE	finalizado	1158	4
2022	2017-05-07	2017-05-12	efectivo	finalizado	1178	3
2023	2017-05-13	2017-05-19	tarjeta credito	finalizado	1110	1
2024	2017-05-19	2017-05-27	efectivo	finalizado	1043	2
2025	2017-05-25	2017-05-29	tarjeta credito	finalizado	1132	1
2026	2017-05-31	2017-06-03	efectivo	finalizado	1030	1
2027	2017-06-06	2017-06-11	tarjeta credito	finalizado	1190	1
2028	2017-06-12	2017-06-14	efectivo	cancelado	1011	4
2029	2017-06-18	2017-06-23	efectivo	finalizado	1086	2
2030	2017-06-24	2017-06-28	tarjeta credito	finalizado	1067	3
2031	2017-06-30	2017-07-07	tarjeta credito	finalizado	1045	1
2032	2017-07-06	2017-07-08	tarjeta credito	finalizado	1018	4
2033	2017-07-12	2017-07-19	PSE	finalizado	1085	4
2034	2017-07-18	2017-07-21	PSE	finalizado	1195	1
2035	2017-07-24	2017-07-29	efectivo	finalizado	1164	4
2036	2017-07-30	2017-08-07	PSE	finalizado	1060	4
2037	2017-08-05	2017-08-11	tarjeta credito	finalizado	1121	3
2038	2017-08-11	2017-08-19	efectivo	finalizado	1011	3
2039	2017-08-17	2017-08-21	efectivo	finalizado	1083	4
2040	2017-08-23	2017-08-29	tarjeta credito	finalizado	1037	1
2041	2017-08-29	2017-09-03	efectivo	cancelado	1007	1
2042	2017-09-04	2017-09-11	PSE	cancelado	1078	3
2043	2017-09-10	2017-09-12	tarjeta credito	finalizado	1029	4
2044	2017-09-16	2017-09-17	PSE	finalizado	1048	4
2045	2017-09-22	2017-09-23	tarjeta credito	finalizado	1036	4
2046	2017-09-28	2017-10-04	tarjeta credito	finalizado	1040	1
2047	2017-10-04	2017-10-10	PSE	finalizado	1180	3
2048	2017-10-10	2017-10-14	efectivo	finalizado	1135	4
2049	2017-10-16	2017-10-24	efectivo	finalizado	1188	3
2050	2017-10-22	2017-10-26	PSE	finalizado	1160	1
2051	2017-10-28	2017-10-31	PSE	finalizado	1079	4
2052	2017-11-03	2017-11-07	efectivo	finalizado	1200	3
2053	2017-11-09	2017-11-17	efectivo	cancelado	1053	2
2054	2017-11-15	2017-11-17	efectivo	finalizado	1161	1
2055	2017-11-21	2017-11-28	tarjeta credito	finalizado	1039	1
2056	2017-11-27	2017-12-02	tarjeta credito	finalizado	1120	3
2057	2017-12-03	2017-12-09	efectivo	finalizado	1156	3
2058	2017-12-09	2017-12-13	efectivo	finalizado	1060	3
2059	2017-12-15	2017-12-20	PSE	finalizado	1098	1
2060	2017-12-21	2017-12-25	efectivo	finalizado	1183	4
2061	2017-12-27	2017-12-28	tarjeta credito	finalizado	1188	1
2062	2018-01-02	2018-01-09	efectivo	finalizado	1037	3
2063	2018-01-08	2018-01-10	efectivo	finalizado	1016	2
2064	2018-01-14	2018-01-15	efectivo	finalizado	1049	2
2065	2018-01-20	2018-01-21	efectivo	finalizado	1048	4
